name_muscle;angles_1;angles_2;emg_muscle_1_(µV);emg_muscle_2_(µV);emg_muscle_3_(µV);emg_muscle_4_(µV)
"1_Vasto medial derecho";-178.65;164.85;-0.774;-0.073;-0.025;0.275
"2_Vasto lateral derecho";-178.65;164.85;-3.924;-3.049;0.491;4.134
"3_Vasto medial izquierdo";-178.65;164.84;-4.78;-5.237;4.04;1.121
"4_Vasto lateral izquierdo";-178.65;164.83;-1.128;-2.793;1.506;-0.5
;-178.65;164.82;-5.596;-1.239;1.974;2.118
;-178.65;164.81;-4.776;-2.479;2.461;0.906
;-178.65;164.8;-0.082;-3.519;-0.092;0.264
;-178.65;164.79;-2.661;-5.139;-2.746;-0.916
;-178.65;164.78;-0.586;-2.892;-2.249;-1.354
;-178.66;164.77;-0.9;1.575;-1.705;0.215
;-178.66;164.76;-1.122;3.685;1.562;-2.783
;-178.66;164.75;-5.468;2.296;2.582;-1.791
;-178.65;164.74;-5.03;0.83;-4.076;-1.024
;-178.65;164.73;-0.753;3.15;0.85;-3.77
;-178.65;164.72;-6.366;0.914;-0.602;-2.329
;-178.65;164.71;1.051;-2.098;-3.966;-2.54
;-178.65;164.7;4.076;0.968;2.941;-0.658
;-178.65;164.69;-0.141;4.901;0.257;-1.067
;-178.65;164.68;1.866;1.111;0.563;-2.267
;-178.65;164.67;1.582;-3.639;1.104;-2.363
;-178.65;164.66;-3.47;-1.661;-1.531;-4.096
;-178.65;164.65;-3.267;-3.122;1.689;2.758
;-178.65;164.64;6.759;-1.208;2.727;0.118
;-178.65;164.63;3.674;-2.717;-0.922;-1.265
;-178.66;164.62;1.817;-6.842;-2.205;1.358
;-178.66;164.61;4.048;-2.328;-3.476;-2.345
;-178.66;164.6;3.101;-0.167;-4.165;5.973
;-178.66;164.59;4.256;1.16;0.307;5.53
;-178.66;164.58;1.161;0.366;-0.145;1.71
;-178.66;164.57;1.466;4.613;-1.855;3.92
;-178.66;164.56;-1.071;7.168;0.666;0.778
;-178.66;164.55;-1.117;4.836;5.344;-0.877
;-178.66;164.54;-0.527;8.037;4.543;-3.15
;-178.66;164.53;-3.506;4.828;0.241;0.53
;-178.66;164.52;-0.18;2.994;2.378;5.163
;-178.66;164.51;0.375;1.554;1.204;2.095
;-178.66;164.5;0.091;1.158;0.389;-2.068
;-178.66;164.49;-1.86;4.4;2.063;-2.293
;-178.66;164.48;-2.702;-0.743;-1.451;-0.262
;-178.66;164.47;2.06;-4.911;-3.277;-0.318
;-178.66;164.46;0.727;-5.964;2.931;1.34
;-178.66;164.45;-0.195;-7.779;3.737;-1.239
;-178.66;164.45;1.178;-8.452;-1.935;-0.316
;-178.66;164.44;0.602;-7.24;1.618;4.112
;-178.66;164.43;1.742;-5.137;2.382;-2.074
;-178.65;164.42;1.379;-3.338;-0.405;-2.867
;-178.65;164.41;5.488;4.055;-2.554;-3.779
;-178.65;164.4;2.155;9.977;-5.46;-3.914
;-178.65;164.39;-6.063;3.856;-1.313;0.908
;-178.65;164.38;-0.147;1.794;-1.281;-2.284
;-178.65;164.37;-2.121;3.638;-3.109;-3.288
;-178.65;164.37;-2.496;-0.319;-0.181;-1.108
;-178.65;164.36;1.975;0.432;1.267;-1.036
;-178.65;164.35;-1.869;0.486;0.948;-0.252
;-178.65;164.34;0.091;0.448;-0.531;7.442
;-178.65;164.33;-1.336;-1.965;-0.952;6.708
;-178.64;164.32;1.377;-5.536;-2.364;3.373
;-178.64;164.31;2.297;1.573;-2.803;4.676
;-178.64;164.31;-3.562;0.945;-1.145;-1.174
;-178.64;164.3;-0.047;-1.203;1.527;3.034
;-178.64;164.29;0.504;1.447;3.142;2.993
;-178.64;164.28;0.95;-1.054;-0.286;-1.363
;-178.64;164.27;1.227;-0.962;-1.816;0.666
;-178.64;164.26;-0.913;-4.072;-2.075;3.559
;-178.64;164.25;-1.303;-3.279;-0.665;4.433
;-178.64;164.24;0.37;-0.895;2.345;-0.912
;-178.64;164.23;5.38;-2.557;0.402;2.212
;-178.64;164.22;4.625;2.475;0.687;0.49
;-178.64;164.22;-0.124;4.174;1.365;-2.841
;-178.64;164.21;-0.574;-0.023;-0.905;1.65
;-178.63;164.2;-2.363;-1.569;-0.839;-1.55
;-178.63;164.19;-6.019;0.822;0.602;-3.436
;-178.63;164.18;-1.366;1.849;3.054;-0.166
;-178.63;164.18;-2.413;-1.272;2.073;0.78
;-178.63;164.17;-3.377;-3.859;0.779;-4.915
;-178.63;164.16;1.11;-0.332;0.357;-10.197
;-178.62;164.15;-5.408;3.035;-1.453;-9.652
;-178.62;164.14;-1.536;3.477;4.595;-8.598
;-178.62;164.14;1.748;1.113;5.663;-5.11
;-178.62;164.13;-1.112;0.866;2.383;-3.612
;-178.62;164.12;2.716;5.732;3.714;-6.606
;-178.62;164.11;-0.688;1.168;-0.169;-7.539
;-178.62;164.1;0.547;1.309;-1.168;-4.807
;-178.62;164.1;2.894;1.552;0.067;-1.944
;-178.62;164.09;4.363;-0.153;3.204;-2.665
;-178.62;164.08;0.547;2.29;3.236;-2.281
;-178.63;164.07;-4.43;-1.98;-1.815;-3.123
;-178.63;164.06;1.605;0.438;0.282;-5.55
;-178.63;164.06;-1.234;-1.151;-0.995;-3.004
;-178.63;164.05;-0.147;-1.03;-2.523;0.499
;-178.63;164.04;1.796;-0.577;-0.554;0.785
;-178.63;164.03;1.221;-2.391;-2.068;0.482
;-178.63;164.02;1.858;3.088;-0.461;1.993
;-178.63;164.01;-3.809;-0.862;1.614;0.617
;-178.63;164.01;-0.804;0.806;-0.615;3.494
;-178.63;164;-0.024;0.325;-3.859;7.143
;-178.63;163.99;-3.049;-4.321;-3.95;5.028
;-178.63;163.98;0.297;1.186;-3.183;7.801
;-178.63;163.97;4.212;-0.1;-4.142;9.427
;-178.63;163.96;0.436;-1.238;-2.597;8.682
;-178.63;163.96;-0.84;0.998;-4.097;10.344
;-178.63;163.95;3.739;-0.669;-5.233;15.766
;-178.63;163.94;3.064;-1.16;-3.676;16.866
;-178.63;163.93;1.166;-0.097;-4.923;13.409
;-178.63;163.92;0.399;2.582;-2.818;16.541
;-178.63;163.92;5.035;0.512;-1.549;16.712
;-178.63;163.91;3.531;-0.095;-1.563;18.433
;-178.63;163.9;-0.222;4.199;-4.128;16.159
;-178.63;163.89;0.366;-2.956;-3.095;13.144
;-178.63;163.89;0.506;-7.609;-0.116;17.578
;-178.64;163.88;0.379;-5.86;-4.426;12.887
;-178.64;163.87;-2.243;-1.189;1.425;11.333
;-178.64;163.86;3.706;0.548;0.596;8.453
;-178.64;163.86;3.767;-4.283;-5.61;6.206
;-178.64;163.85;1.084;0.885;2.838;2.98
;-178.64;163.84;3.246;-1.383;0.263;-1.216
;-178.64;163.84;-1.486;1.134;-0.636;-0.531
;-178.64;163.83;-0.543;4.705;6.634;-7.848
;-178.64;163.82;-1.103;-2.028;2.628;-11.69
;-178.64;163.81;-4.343;-1.141;4.133;-16.291
;-178.64;163.81;-0.97;-2.59;6.616;-18.896
;-178.64;163.8;-1.868;2.7;7.983;-28.751
;-178.65;163.79;-4.214;-0.449;11.423;-32.193
;-178.65;163.79;-2.269;-2.416;8.832;-41.209
;-178.65;163.78;-1.584;4.715;7.784;-48.986
;-178.65;163.77;-5.516;-1.422;12.846;-53.152
;-178.65;163.76;-5.298;0.959;17.002;-68.942
;-178.65;163.76;-2.407;5.407;14.059;-64.903
;-178.65;163.75;-5.948;3.902;17.1;-87.58
;-178.65;163.74;-2.259;2.587;15.859;-74.585
;-178.64;163.73;-3.31;1.269;26.028;-105.803
;-178.64;163.73;-8.242;2.513;18.501;-86.754
;-178.64;163.72;-0.249;2.163;-27.346;90.754
;-178.64;163.71;-1.916;-0.778;-27.281;107.125
;-178.64;163.7;-5.892;-2.844;-16.848;78.276
;-178.64;163.69;-1.638;-0.922;-20.36;86.226
;-178.64;163.68;-1.81;-1.63;-15.964;62.299
;-178.64;163.68;-4.098;-0.83;-13.723;67.931
;-178.64;163.67;-6.596;2.59;-8.836;50.618
;-178.64;163.66;-9.033;2.675;-14.109;48.237
;-178.64;163.65;-1.92;3.581;-10.589;38.972
;-178.64;163.64;2.217;0.394;-9.44;31.614
;-178.64;163.63;-0.13;1.323;-5.946;30.127
;-178.64;163.63;5.063;1.521;-2.639;18.391
;-178.64;163.62;5.049;-7.211;-7.595;15.367
;-178.64;163.61;5.476;-3.297;0.489;8.108
;-178.63;163.6;7.756;-3.422;-0.556;7.894
;-178.63;163.6;9.248;-5.027;0.245;3.109
;-178.63;163.59;8.333;0.543;2.642;-0.746
;-178.64;163.58;9.857;-3.847;-0.189;-3.35
;-178.64;163.57;16.222;-1.377;2.009;-4.042
;-178.64;163.57;16.351;0.18;2.215;-8.454
;-178.64;163.56;19.005;3.075;3.847;-14.395
;-178.64;163.55;22.712;7.127;1.208;-12.195
;-178.64;163.54;28.508;-1.648;2.171;-13.74
;-178.64;163.53;20.14;-1.338;5.96;-14.463
;-178.64;163.53;28.619;5.84;3.276;-14.862
;-178.64;163.52;24.525;5.637;4.154;-15.231
;-178.64;163.51;-27.476;-2.227;1.115;-15.077
;-178.64;163.51;-31.589;-5.818;1.973;-14.644
;-178.64;163.5;-20.029;-1.214;8.077;-14.615
;-178.64;163.49;-22.269;1.148;2.568;-13.024
;-178.63;163.49;-19.606;-3.383;2.642;-13.559
;-178.63;163.48;-21.995;-4.305;2.987;-13.87
;-178.63;163.48;-13.423;3.581;0.177;-11.931
;-178.63;163.47;-12.997;-0.641;3.37;-14.51
;-178.63;163.47;-13.379;-1.919;0.668;-12.862
;-178.63;163.46;-11.136;2.965;0.724;-9.074
;-178.62;163.46;-10.098;-1.506;1.094;-4.195
;-178.62;163.45;-10.396;0.405;1.192;-0.765
;-178.62;163.45;-6.772;4.796;1.578;1.521
;-178.62;163.44;1.64;3.942;-1.444;4.255
;-178.62;163.43;-3.652;-1.389;2.24;0.951
;-178.62;163.43;-2.502;4.204;2.009;-0.137
;-178.61;163.42;2.101;7.794;0.046;0.051
;-178.61;163.42;-1.075;-2.041;2.357;1.464
;-178.61;163.41;1.092;-1.387;1.098;4.868
;-178.61;163.41;3.016;-2.535;-0.298;5.957
;-178.61;163.4;5.548;-1.25;-0.869;6.139
;-178.61;163.4;3.747;-0.253;-2.762;4.083
;-178.61;163.39;0.071;-4.252;-2.886;3.881
;-178.6;163.39;4.279;-1.148;-1.872;5.057
;-178.6;163.38;3.196;-4.408;-1.952;4.283
;-178.6;163.38;4.624;-1.969;-0.686;2.721
;-178.6;163.37;5.848;1.26;-1.15;4.331
;-178.6;163.36;1.667;-2.628;-2.335;6.296
;-178.6;163.36;8.214;0.444;-0.427;4.123
;-178.6;163.35;10.754;-0.036;-0.779;3.432
;-178.59;163.35;7.376;-3.726;-2.763;0.73
;-178.59;163.34;7.273;-6.515;0.768;0.222
;-178.59;163.34;6.519;-5.015;1.17;0.459
;-178.59;163.33;3.562;-0.56;-0.887;-0.296
;-178.59;163.33;-0.428;-0.241;-0.884;3.41
;-178.59;163.32;2.724;2.374;-5.793;1.929
;-178.59;163.31;2.01;1.516;-2.802;0.327
;-178.58;163.31;-1.392;2.178;1.478;0.913
;-178.58;163.3;-1.485;3.495;1.474;3.38
;-178.58;163.29;-2.603;4.914;2.545;-0.015
;-178.58;163.29;1.403;8.878;-0.471;-2.998
;-178.58;163.28;-0.817;1.355;0.542;5.522
;-178.58;163.27;-1.727;-0.825;0.559;2.622
