;RMS_(µV);rms_sec_(µV/s);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_1_(µV);rms_2_(µV);rms_3_(µV);rms_4_(µV)
1_Vasto medial derecho;52.87;1.26;339.59;432.81;;0;5037;3364;01/04/21;15609
2_Vasto lateral derecho;47.56;1.13;318.01;392.66;;1;2107;3456;2251;2447
3_Vasto medial izquierdo;32.34;0.77;355.62;406.32;;2;2148;01/03/31;2265;2586
4_Vasto lateral izquierdo;26.57;0.63;174.41;760.56;;3;2204;3555;2129;01/02/45
;;;;;;4;2183;3641;02/01/20;2352
;;;;;;5;2222;3391;2322;01/02/55
;;;;;;6;01/02/35;3304;2443;2552
;;;;;;7;5702;3582;2296;2494
;;;;;;8;5673;3777;2322;2564
;;;;;;9;01/02/17;3416;2343;2477
;;;;;;10;2137;3308;02/03/20;2444
;;;;;;11;5421;3488;2318;2341
;;;;;;12;5536;3633;2357;2353
;;;;;;13;5494;3683;2194;01/02/47
;;;;;;14;5355;3494;2292;2392
;;;;;;15;2191;3292;3344;3246
;;;;;;16;8491;9365;3754;01/03/83
;;;;;;17;15254;11312;3181;3191
;;;;;;18;22143;12/04/20;2538;2644
;;;;;;19;21204;15696;3852;5291
;;;;;;20;11354;12785;5516;6602
;;;;;;21;6618;6016;6223;7262
;;;;;;22;9314;7471;8863;8935
;;;;;;23;8656;11578;9828;9836
;;;;;;24;119507;73073;9124;11651
;;;;;;25;194168;142431;9847;12718
;;;;;;26;207848;173905;10342;14.91
;;;;;;27;221057;198062;9941;17339
;;;;;;28;228064;203095;8515;16293
;;;;;;29;188928;200.47;7684;16328
;;;;;;30;190967;205033;8519;18287
;;;;;;31;175077;167024;11508;21945
;;;;;;32;181647;163981;12525;21818
;;;;;;33;235369;169183;11816;20386
;;;;;;34;204612;186101;11235;20965
;;;;;;35;183097;175492;10655;21732
;;;;;;36;217216;172845;13.16;27029
;;;;;;37;217703;198123;17378;36449
;;;;;;38;234926;219034;18.89;40445
;;;;;;39;252031;208748;17716;36475
;;;;;;40;188317;175088;16907;32021
;;;;;;41;128.33;184948;14773;26158
;;;;;;42;119624;147771;01/10/88;16801
;;;;;;43;90859;68445;8088;13339
;;;;;;44;38.59;31261;6056;11755
;;;;;;45;14311;19446;4565;6644
;;;;;;46;10123;14687;01/03/52;5078
;;;;;;47;4544;10946;3126;4494
;;;;;;48;5261;10708;03/09/20;4644
;;;;;;49;5313;10906;3705;5443
;;;;;;50;4187;08/04/20;12848;18.32
;;;;;;51;3325;4691;14362;19256
;;;;;;52;2594;4021;7253;7668
;;;;;;53;2441;01/03/98;4414;01/05/42
;;;;;;54;01/02/42;3826;5196;9027
;;;;;;55;2352;3042;5052;01/09/61
;;;;;;56;2401;3484;5065;7105
;;;;;;57;10914;4531;4946;5646
;;;;;;58;16517;6635;01/04/75;7069
;;;;;;59;13024;8259;4251;6908
;;;;;;60;3308;7486;3626;4594
;;;;;;61;3224;6485;3303;4362
;;;;;;62;3102;6177;3212;3607
;;;;;;63;2509;5261;3023;01/02/67
;;;;;;64;2647;5064;5081;01/07/56
;;;;;;65;2454;4783;4976;7654
;;;;;;66;2129;4285;3078;3783
;;;;;;67;2284;4583;2984;3505
;;;;;;68;2405;4751;2782;3184
;;;;;;69;2275;4686;3356;3684
;;;;;;70;2191;4482;3493;4038
;;;;;;71;2298;4185;3252;3805
;;;;;;72;2246;3858;2973;2806
;;;;;;73;2178;01/03/59;2479;2522
;;;;;;74;2213;3648;2411;2532
;;;;;;75;2303;3688;2611;2239
;;;;;;76;2344;3382;2366;2043
;;;;;;77;01/03/97;3343;2266;2095
;;;;;;78;4554;01/03/41;2418;2255
;;;;;;79;3203;2966;2415;2316
;;;;;;80;2244;2986;2234;2172
;;;;;;81;02/09/20;3138;02/07/20;2116
;;;;;;82;2075;3216;2042;2166
;;;;;;83;2152;3067;1917;2147
;;;;;;84;2143;2734;2004;1969
;;;;;;85;2146;2881;2143;1921
;;;;;;86;2169;2812;2188;2059
;;;;;;87;2216;2689;2158;2064
;;;;;;88;2114;2747;02/07/20;1963
;;;;;;89;2148;2855;2308;2041
;;;;;;90;2242;3001;2311;2072
;;;;;;91;2216;2872;2321;1959
;;;;;;92;2181;2826;2268;1989
;;;;;;93;2064;02/08/20;1929;2005
;;;;;;94;2108;2646;2051;2022
;;;;;;95;2136;2672;2105;2055
;;;;;;96;2035;2749;2065;2003
;;;;;;97;2226;2959;2257;2037
;;;;;;98;2858;03/09/20;2531;2301
;;;;;;99;2675;2942;2385;2218
;;;;;;100;2056;2853;2061;1902
;;;;;;101;2047;2796;2091;1941
;;;;;;102;01/04/32;3446;2136;1998
;;;;;;103;4359;01/03/53;2122;1955
;;;;;;104;2498;2882;2077;1937
;;;;;;105;2488;2979;2386;02/02/20
;;;;;;106;2031;3105;2494;2094
;;;;;;107;2046;3532;2795;2869
;;;;;;108;2737;7231;01/03/65;3495
;;;;;;109;2968;8582;4183;3539
;;;;;;110;3033;7519;5107;3681
;;;;;;111;3158;6952;6381;7351
;;;;;;112;3581;8682;6362;8638
;;;;;;113;4506;11049;6694;09/05/20
;;;;;;114;5751;13282;7201;9568
;;;;;;115;5105;01/11/15;6383;01/06/42
;;;;;;116;2579;4558;5566;4591
;;;;;;117;2156;7854;5216;4399
;;;;;;118;2281;8085;4287;01/04/36
;;;;;;119;02/08/20;3803;3113;3825
;;;;;;120;2002;3164;3332;3981
;;;;;;121;2149;3197;5093;5137
;;;;;;122;2088;3327;6988;5885
;;;;;;123;1955;3356;01/08/26;12377
;;;;;;124;2023;3196;12475;15773
;;;;;;125;2151;3527;12857;14292
;;;;;;126;2135;3473;11008;18518
;;;;;;127;2012;3136;01/10/44;18049
;;;;;;128;1991;03/02/20;8971;12198
;;;;;;129;2025;2844;01/08/86;11478
;;;;;;130;2172;2895;9004;11376
;;;;;;131;02/02/20;3034;9071;11923
;;;;;;132;2031;3099;10/01/20;14219
;;;;;;133;02/05/20;3359;15138;16063
;;;;;;134;2095;3568;18228;17564
;;;;;;135;2109;3155;18336;20578
;;;;;;136;2088;2869;19508;20582
;;;;;;137;4146;3431;17.94;16702
;;;;;;138;15252;8593;15864;15/09/20
;;;;;;139;21034;16908;98572;84314
;;;;;;140;22/08/20;21.33;150625;126532
;;;;;;141;22524;22723;159249;126372
;;;;;;142;18355;21348;157692;133183
;;;;;;143;16.49;17684;155281;130208
;;;;;;144;18778;15577;142041;118856
;;;;;;145;17648;15/04/20;215829;107699
;;;;;;146;10992;13517;237.44;104824
;;;;;;147;11368;14594;131321;131.46
;;;;;;148;24229;22036;111708;133141
;;;;;;149;28508;27.58;128782;123.27
;;;;;;150;30/12/20;38687;124021;112729
;;;;;;151;27229;35682;127552;99713
;;;;;;152;13828;15598;100274;77981
;;;;;;153;5624;7476;65.09;53853
;;;;;;154;3069;4546;39916;38869
;;;;;;155;2675;3992;18959;17885
;;;;;;156;2344;3252;98524;61101
;;;;;;157;2905;3304;99493;65895
;;;;;;158;2919;3313;16797;26063
;;;;;;159;2258;2763;2369;5041
;;;;;;160;2149;2629;2251;3791
;;;;;;161;1949;2778;2282;3702
;;;;;;162;1941;01/02/83;2249;4273
;;;;;;163;2025;2767;2082;4122
;;;;;;164;2033;2618;2047;3279
;;;;;;165;1923;2627;2061;3032
;;;;;;166;1988;2547;2099;01/02/86
;;;;;;167;2251;2685;2273;2524
;;;;;;168;2442;2994;2631;2643
