;RMS_(µV);rms_sec_(µV/s);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_1_(µV);rms_2_(µV);rms_3_(µV);rms_4_(µV);emg_muscle_1_(µV);emg_muscle_2_(µV);emg_muscle_3_(µV);emg_muscle_4_(µV)
1_Vasto medial derecho;52.87;1.26;339.59;432.81;;0;5,037;3,364;4,21;15,609;-774;-73;-25;275
2_Vasto lateral derecho;47.56;1.13;318.01;392.66;;1;2,107;3,456;2,251;2,447;-3924;-3049;491;4134
3_Vasto medial izquierdo;32.34;0.77;355.62;406.32;;2;2,148;3,31;2,265;2,586;-4.78;-5237;4.04;1121
4_Vasto lateral izquierdo;26.57;0.63;174.41;760.56;;3;2,204;3,555;2,129;2,45;-1128;-2793;1506;-0.5
;;;;;;4;2,183;3,641;2,1;2,352;-5596;-1239;1974;2118
;;;;;;5;2,222;3,391;2,322;2,55;-4776;-2479;2461;906
;;;;;;6;2,35;3,304;2,443;2,552;-82;-3519;-92;264
;;;;;;7;5,702;3,582;2,296;2,494;-2661;-5139;-2746;-916
;;;;;;8;5,673;3,777;2,322;2,564;-586;-2892;-2249;-1354
;;;;;;9;2,17;3,416;2,343;2,477;-0.9;1575;-1705;215
;;;;;;10;2,137;3,308;2,3;2,444;-1122;3685;1562;-2783
;;;;;;11;5,421;3,488;2,318;2,341;-5468;2296;2582;-1791
;;;;;;12;5,536;3,633;2,357;2,353;-5.03;0.83;-4076;-1024
;;;;;;13;5,494;3,683;2,194;2,47;-753;3.15;0.85;-3.77
;;;;;;14;5,355;3,494;2,292;2,392;-6366;914;-602;-2329
;;;;;;15;2,191;3,292;3,344;3,246;1051;-2098;-3966;-2.54
;;;;;;16;8,491;9,365;3,754;3,83;4076;968;2941;-658
;;;;;;17;15,254;11,312;3,181;3,191;-141;4901;257;-1067
;;;;;;18;22,143;12,04;2,538;2,644;1866;1111;563;-2267
;;;;;;19;21,204;15,696;3,852;5,291;1582;-3639;1104;-2363
;;;;;;20;11,354;12,785;5,516;6,602;-3.47;-1661;-1531;-4096
;;;;;;21;6,618;6,016;6,223;7,262;-3267;-3122;1689;2758
;;;;;;22;9,314;7,471;8,863;8,935;6759;-1208;2727;118
;;;;;;23;8,656;11,578;9,828;9,836;3674;-2717;-922;-1265
;;;;;;24;119,507;73,073;9,124;11,651;1817;-6842;-2205;1358
;;;;;;25;194,168;142,431;9,847;12,718;4048;-2328;-3476;-2345
;;;;;;26;207,848;173,905;10,342;14,91;3101;-167;-4165;5973
;;;;;;27;221,057;198,062;9,941;17,339;4256;1.16;307;5.53
;;;;;;28;228,064;203,095;8,515;16,293;1161;366;-145;1.71
;;;;;;29;188,928;200,47;7,684;16,328;1466;4613;-1855;3.92
;;;;;;30;190,967;205,033;8,519;18,287;-1071;7168;666;778
;;;;;;31;175,077;167,024;11,508;21,945;-1117;4836;5344;-877
;;;;;;32;181,647;163,981;12,525;21,818;-527;8037;4543;-3.15
;;;;;;33;235,369;169,183;11,816;20,386;-3506;4828;241;0.53
;;;;;;34;204,612;186,101;11,235;20,965;-0.18;2994;2378;5163
;;;;;;35;183,097;175,492;10,655;21,732;375;1554;1204;2095
;;;;;;36;217,216;172,845;13,16;27,029;91;1158;389;-2068
;;;;;;37;217,703;198,123;17,378;36,449;-1.86;4.4;2063;-2293
;;;;;;38;234,926;219,034;18,89;40,445;-2702;-743;-1451;-262
;;;;;;39;252,031;208,748;17,716;36,475;2.06;-4911;-3277;-318
;;;;;;40;188,317;175,088;16,907;32,021;727;-5964;2931;1.34
;;;;;;41;128,33;184,948;14,773;26,158;-195;-7779;3737;-1239
;;;;;;42;119,624;147,771;10,88;16,801;1178;-8452;-1935;-316
;;;;;;43;90,859;68,445;8,088;13,339;602;-7.24;1618;4112
;;;;;;44;38,59;31,261;6,056;11,755;1742;-5137;2382;-2074
;;;;;;45;14,311;19,446;4,565;6,644;1379;-3338;-405;-2867
;;;;;;46;10,123;14,687;3,52;5,078;5488;4055;-2554;-3779
;;;;;;47;4,544;10,946;3,126;4,494;2155;9977;-5.46;-3914
;;;;;;48;5,261;10,708;3,09;4,644;-6063;3856;-1313;908
;;;;;;49;5,313;10,906;3,705;5,443;-147;1794;-1281;-2284
;;;;;;50;4,187;8,04;12,848;18,32;-2121;3638;-3109;-3288
;;;;;;51;3,325;4,691;14,362;19,256;-2496;-319;-181;-1108
;;;;;;52;2,594;4,021;7,253;7,668;1975;432;1267;-1036
;;;;;;53;2,441;3,98;4,414;5,42;-1869;486;948;-252
;;;;;;54;2,42;3,826;5,196;9,027;91;448;-531;7442
;;;;;;55;2,352;3,042;5,052;9,61;-1336;-1965;-952;6708
;;;;;;56;2,401;3,484;5,065;7,105;1377;-5536;-2364;3373
;;;;;;57;10,914;4,531;4,946;5,646;2297;1573;-2803;4676
;;;;;;58;16,517;6,635;4,75;7,069;-3562;945;-1145;-1174
;;;;;;59;13,024;8,259;4,251;6,908;-47;-1203;1527;3034
;;;;;;60;3,308;7,486;3,626;4,594;504;1447;3142;2993
;;;;;;61;3,224;6,485;3,303;4,362;0.95;-1054;-286;-1363
;;;;;;62;3,102;6,177;3,212;3,607;1227;-962;-1816;666
;;;;;;63;2,509;5,261;3,023;2,67;-913;-4072;-2075;3559
;;;;;;64;2,647;5,064;5,081;7,56;-1303;-3279;-665;4433
;;;;;;65;2,454;4,783;4,976;7,654;0.37;-895;2345;-912
;;;;;;66;2,129;4,285;3,078;3,783;5.38;-2557;402;2212
;;;;;;67;2,284;4,583;2,984;3,505;4625;2475;687;0.49
;;;;;;68;2,405;4,751;2,782;3,184;-124;4174;1365;-2841
;;;;;;69;2,275;4,686;3,356;3,684;-574;-23;-905;1.65
;;;;;;70;2,191;4,482;3,493;4,038;-2363;-1569;-839;-1.55
;;;;;;71;2,298;4,185;3,252;3,805;-6019;822;602;-3436
;;;;;;72;2,246;3,858;2,973;2,806;-1366;1849;3054;-166
;;;;;;73;2,178;3,59;2,479;2,522;-2413;-1272;2073;0.78
;;;;;;74;2,213;3,648;2,411;2,532;-3377;-3859;779;-4915
;;;;;;75;2,303;3,688;2,611;2,239;1.11;-332;357;-10197
;;;;;;76;2,344;3,382;2,366;2,043;-5408;3035;-1453;-9652
;;;;;;77;3,97;3,343;2,266;2,095;-1536;3477;4595;-8598
;;;;;;78;4,554;3,41;2,418;2,255;1748;1113;5663;-5.11
;;;;;;79;3,203;2,966;2,415;2,316;-1112;866;2383;-3612
;;;;;;80;2,244;2,986;2,234;2,172;2716;5732;3714;-6606
;;;;;;81;2,09;3,138;2,07;2,116;-688;1168;-169;-7539
;;;;;;82;2,075;3,216;2,042;2,166;547;1309;-1168;-4807
;;;;;;83;2,152;3,067;1,917;2,147;2894;1552;67;-1944
;;;;;;84;2,143;2,734;2,004;1,969;4363;-153;3204;-2665
;;;;;;85;2,146;2,881;2,143;1,921;547;2.29;3236;-2281
;;;;;;86;2,169;2,812;2,188;2,059;-4.43;-1.98;-1815;-3123
;;;;;;87;2,216;2,689;2,158;2,064;1605;438;282;-5.55
;;;;;;88;2,114;2,747;2,07;1,963;-1234;-1151;-995;-3004
;;;;;;89;2,148;2,855;2,308;2,041;-147;-1.03;-2523;499
;;;;;;90;2,242;3,001;2,311;2,072;1796;-577;-554;785
;;;;;;91;2,216;2,872;2,321;1,959;1221;-2391;-2068;482
;;;;;;92;2,181;2,826;2,268;1,989;1858;3088;-461;1993
;;;;;;93;2,064;2,8;1,929;2,005;-3809;-862;1614;617
;;;;;;94;2,108;2,646;2,051;2,022;-804;806;-615;3494
;;;;;;95;2,136;2,672;2,105;2,055;-24;325;-3859;7143
;;;;;;96;2,035;2,749;2,065;2,003;-3049;-4321;-3.95;5028
;;;;;;97;2,226;2,959;2,257;2,037;297;1186;-3183;7801
;;;;;;98;2,858;3,09;2,531;2,301;4212;-0.1;-4142;9427
;;;;;;99;2,675;2,942;2,385;2,218;436;-1238;-2597;8682
;;;;;;100;2,056;2,853;2,061;1,902;-0.84;998;-4097;10344
;;;;;;101;2,047;2,796;2,091;1,941;3739;-669;-5233;15766
;;;;;;102;4,32;3,446;2,136;1,998;3064;-1.16;-3676;16866
;;;;;;103;4,359;3,53;2,122;1,955;1166;-97;-4923;13409
;;;;;;104;2,498;2,882;2,077;1,937;399;2582;-2818;16541
;;;;;;105;2,488;2,979;2,386;2,02;5035;512;-1549;16712
;;;;;;106;2,031;3,105;2,494;2,094;3531;-95;-1563;18433
;;;;;;107;2,046;3,532;2,795;2,869;-222;4199;-4128;16159
;;;;;;108;2,737;7,231;3,65;3,495;366;-2956;-3095;13144
;;;;;;109;2,968;8,582;4,183;3,539;506;-7609;-116;17578
;;;;;;110;3,033;7,519;5,107;3,681;379;-5.86;-4426;12887
;;;;;;111;3,158;6,952;6,381;7,351;-2243;-1189;1425;11333
;;;;;;112;3,581;8,682;6,362;8,638;3706;548;596;8453
;;;;;;113;4,506;11,049;6,694;9,5;3767;-4283;-5.61;6206
;;;;;;114;5,751;13,282;7,201;9,568;1084;885;2838;2.98
;;;;;;115;5,105;11,15;6,383;6,42;3246;-1383;263;-1216
;;;;;;116;2,579;4,558;5,566;4,591;-1486;1134;-636;-531
;;;;;;117;2,156;7,854;5,216;4,399;-543;4705;6634;-7848
;;;;;;118;2,281;8,085;4,287;4,36;-1103;-2028;2628;-11.69
;;;;;;119;2,08;3,803;3,113;3,825;-4343;-1141;4133;-16291
;;;;;;120;2,002;3,164;3,332;3,981;-0.97;-2.59;6616;-18896
;;;;;;121;2,149;3,197;5,093;5,137;-1868;2.7;7983;-28751
;;;;;;122;2,088;3,327;6,988;5,885;-4214;-449;11423;-32193
;;;;;;123;1,955;3,356;8,26;12,377;-2269;-2416;8832;-41209
;;;;;;124;2,023;3,196;12,475;15,773;-1584;4715;7784;-48986
;;;;;;125;2,151;3,527;12,857;14,292;-5516;-1422;12846;-53152
;;;;;;126;2,135;3,473;11,008;18,518;-5298;959;17002;-68942
;;;;;;127;2,012;3,136;10,44;18,049;-2407;5407;14059;-64903
;;;;;;128;1,991;3,02;8,971;12,198;-5948;3902;17.1;-87.58
;;;;;;129;2,025;2,844;8,86;11,478;-2259;2587;15859;-74585
;;;;;;130;2,172;2,895;9,004;11,376;-3.31;1269;26028;-105803
;;;;;;131;2,2;3,034;9,071;11,923;-8242;2513;18501;-86754
;;;;;;132;2,031;3,099;10,1;14,219;-249;2163;-27346;90754
;;;;;;133;2,05;3,359;15,138;16,063;-1916;-778;-27281;107125
;;;;;;134;2,095;3,568;18,228;17,564;-5892;-2844;-16848;78276
;;;;;;135;2,109;3,155;18,336;20,578;-1638;-922;-20.36;86226
;;;;;;136;2,088;2,869;19,508;20,582;-1.81;-1.63;-15964;62299
;;;;;;137;4,146;3,431;17,94;16,702;-4098;-0.83;-13723;67931
;;;;;;138;15,252;8,593;15,864;15,9;-6596;2.59;-8836;50618
;;;;;;139;21,034;16,908;98,572;84,314;-9033;2675;-14109;48237
;;;;;;140;22,8;21,33;150,625;126,532;-1.92;3581;-10589;38972
;;;;;;141;22,524;22,723;159,249;126,372;2217;394;-9.44;31614
;;;;;;142;18,355;21,348;157,692;133,183;-0.13;1323;-5946;30127
;;;;;;143;16,49;17,684;155,281;130,208;5063;1521;-2639;18391
;;;;;;144;18,778;15,577;142,041;118,856;5049;-7211;-7595;15367
;;;;;;145;17,648;15,04;215,829;107,699;5476;-3297;489;8108
;;;;;;146;10,992;13,517;237,44;104,824;7756;-3422;-556;7894
;;;;;;147;11,368;14,594;131,321;131,46;9248;-5027;245;3109
;;;;;;148;24,229;22,036;111,708;133,141;8333;543;2642;-746
;;;;;;149;28,508;27,58;128,782;123,27;9857;-3847;-189;-3.35
;;;;;;150;30,12;38,687;124,021;112,729;16222;-1377;2009;-4042
;;;;;;151;27,229;35,682;127,552;99,713;16351;0.18;2215;-8454
;;;;;;152;13,828;15,598;100,274;77,981;19005;3075;3847;-14395
;;;;;;153;5,624;7,476;65,09;53,853;22712;7127;1208;-12195
;;;;;;154;3,069;4,546;39,916;38,869;28508;-1648;2171;-13.74
;;;;;;155;2,675;3,992;18,959;17,885;20.14;-1338;5.96;-14463
;;;;;;156;2,344;3,252;98,524;61,101;28619;5.84;3276;-14862
;;;;;;157;2,905;3,304;99,493;65,895;24525;5637;4154;-15231
;;;;;;158;2,919;3,313;16,797;26,063;-27476;-2227;1115;-15077
;;;;;;159;2,258;2,763;2,369;5,041;-31589;-5818;1973;-14644
;;;;;;160;2,149;2,629;2,251;3,791;-20029;-1214;8077;-14615
;;;;;;161;1,949;2,778;2,282;3,702;-22269;1148;2568;-13024
;;;;;;162;1,941;2,83;2,249;4,273;-19606;-3383;2642;-13559
;;;;;;163;2,025;2,767;2,082;4,122;-21995;-4305;2987;-13.87
;;;;;;164;2,033;2,618;2,047;3,279;-13423;3581;177;-11931
;;;;;;165;1,923;2,627;2,061;3,032;-12997;-641;3.37;-14.51
;;;;;;166;1,988;2,547;2,099;2,86;-13379;-1919;668;-12862
;;;;;;167;2,251;2,685;2,273;2,524;-11136;2965;724;-9074
;;;;;;168;2,442;2,994;2,631;2,643;-10098;-1506;1094;-4195
;;;;;;;;;;;-10396;405;1192;-765
;;;;;;;;;;;-6772;4796;1578;1521
;;;;;;;;;;;1.64;3942;-1444;4255
;;;;;;;;;;;-3652;-1389;2.24;951
;;;;;;;;;;;-2502;4204;2009;-137
;;;;;;;;;;;2101;7794;46;51
;;;;;;;;;;;-1075;-2041;2357;1464
;;;;;;;;;;;1092;-1387;1098;4868
;;;;;;;;;;;3016;-2535;-298;5957
;;;;;;;;;;;5548;-1.25;-869;6139
;;;;;;;;;;;3747;-253;-2762;4083
;;;;;;;;;;;71;-4252;-2886;3881
;;;;;;;;;;;4279;-1148;-1872;5057
;;;;;;;;;;;3196;-4408;-1952;4283
;;;;;;;;;;;4624;-1969;-686;2721
;;;;;;;;;;;5848;1.26;-1.15;4331
;;;;;;;;;;;1667;-2628;-2335;6296
;;;;;;;;;;;8214;444;-427;4123
;;;;;;;;;;;10754;-36;-779;3432
;;;;;;;;;;;7376;-3726;-2763;0.73
;;;;;;;;;;;7273;-6515;768;222
;;;;;;;;;;;6519;-5015;1.17;459
;;;;;;;;;;;3562;-0.56;-887;-296
;;;;;;;;;;;-428;-241;-884;3.41
;;;;;;;;;;;2724;2374;-5793;1929
;;;;;;;;;;;2.01;1516;-2802;327
;;;;;;;;;;;-1392;2178;1478;913
;;;;;;;;;;;-1485;3495;1474;3.38
;;;;;;;;;;;-2603;4914;2545;-15
;;;;;;;;;;;1403;8878;-471;-2998
;;;;;;;;;;;-817;1355;542;5522
;;;;;;;;;;;-1727;-825;559;2622
;;;;;;;;;;;1051;-2216;1597;-848
;;;;;;;;;;;-1794;-1138;1538;1814
;;;;;;;;;;;88;0.54;-0.53;-732
;;;;;;;;;;;-1998;-4501;2543;-2185
;;;;;;;;;;;-3616;3551;251;-451
;;;;;;;;;;;0.7;-1663;523;58
;;;;;;;;;;;-839;-2522;875;-3255
;;;;;;;;;;;-2887;4484;-1495;-0.54
;;;;;;;;;;;-892;547;-1647;-18
;;;;;;;;;;;-365;1844;-3605;-3909
;;;;;;;;;;;-803;-2802;-1069;-3082
;;;;;;;;;;;-881;2768;285;-3893
;;;;;;;;;;;-0.66;5945;-422;-3.21
